Site,Scen,v_accret,Lower LV,Mean,Upper LV
P. Semakau,RCP 8.5,2.339267749,-2.400732251,-5.450732251,-8.390732251
P. Semakau,RCP 8.5,0.656921082,-4.083078918,-7.133078918,-10.07307892
P. Semakau,RCP 8.5,1.935286793,-2.804713207,-5.854713207,-8.794713207
P. Semakau,RCP 8.5,1.585823986,-3.154176014,-6.204176014,-9.144176014
P. Semakau,RCP 8.5,1.894688837,-2.845311163,-5.895311163,-8.835311163
P. Jong,RCP 8.5,-0.062167374,-4.802167374,-7.852167374,-10.79216737
P. Jong,RCP 8.5,0.113042196,-4.626957804,-7.676957804,-10.6169578
P. Jong,RCP 8.5,0.781722354,-3.958277646,-7.008277646,-9.948277646
P. Jong,RCP 8.5,-0.164951931,-4.904951931,-7.954951931,-10.89495193
P. Jong,RCP 8.5,-0.073864632,-4.813864632,-7.863864632,-10.80386463
P. Jong,RCP 8.5,-0.038271582,-4.778271582,-7.828271582,-10.76827158
Sisters,RCP 8.5,1.607660721,-3.132339279,-6.182339279,-9.122339279
Sisters,RCP 8.5,1.423010751,-3.316989249,-6.366989249,-9.306989249
Sisters,RCP 8.5,0.848061319,-3.891938681,-6.941938681,-9.881938681
Sisters,RCP 8.5,0.433981629,-4.306018371,-7.356018371,-10.29601837
Sisters,RCP 8.5,0.35519932,-4.38480068,-7.43480068,-10.37480068
Sisters,RCP 8.5,0.470351451,-4.269648549,-7.319648549,-10.25964855
Kusu,RCP 8.5,0.801628703,-3.938371297,-6.988371297,-9.928371297
Kusu,RCP 8.5,0.484877377,-4.255122623,-7.305122623,-10.24512262
Kusu,RCP 8.5,0.00153112,-4.73846888,-7.78846888,-10.72846888
Kusu,RCP 8.5,0.427328947,-4.312671053,-7.362671053,-10.30267105
Kusu,RCP 8.5,1.800065562,-2.939934438,-5.989934438,-8.929934438
Kusu,RCP 8.5,1.462521615,-3.277478385,-6.327478385,-9.267478385
